Log Temuan,Kategori,cleaned_text
ketika melakukan penyesuaian tabel data kolom sebelah terpotong baik judul maupun isi kolom,Minor,penyesuaian tabel data kolom sebelah terpotong judul isi kolom
button  Hapus  belum muncul,Mayor,button hapus belum muncul
"Wajib Bayar : PT Truba Alam Manunggal Engineer Tbk, tidak muncul tagihan dari pengembalian pelimpahan PUPN",Mayor,wajib bayar pt truba alam manunggal engineer tbk tidak muncul tagihan pengembalian pelimpahan pupn
"Ketika melakukan review, opsi nama approver belum tampil",Mayor,review opsi nama approver belum tampil
Menu Transaksi belum ada sub menu Penyisihan Piutang pada akun Inputer,Mayor,menu transaksi belum sub menu penyisihan piutang akun inputer
menu pemasukan kas belum tampil di user irma.wahyuni,Mayor,menu pemasukan kas belum tampil user irma wahyuni
"Setelah melakukan tambah data, data yang sudah ditambahkan tidak muncul di tabel dasar pengenaan",Mayor,data data tidak muncul tabel dasar pengenaan
"ketika melakukan review data yang sudah di review sebelumnya, tampilan menjadi error",Mayor,review data review tampilan error
"ketika melakukan review dengan klik review lalu pada pop up konfirmasi pilih button batal, button review nya tidak muncul kembali",Mayor,review klik review pop up konfirmasi pilih button batal button review tidak muncul
tidak bisa melakukan download template,Mayor,tidak download template
tidak bisa melakukan hapus data pemasukan kas,Mayor,tidak hapus data pemasukan kas
belum ada button review pada user reviewer,Mayor,belum button review user reviewer
belum ada button review pada user reviewer,Mayor,belum button review user reviewer
tidak bisa melakukan registrasi,Mayor,tidak registrasi
notifikasi validasi mandatory untuk opsi keputusan belum muncul,Mayor,notifikasi validasi mandatory opsi putus an belum muncul
tanggal permohonan bisa di set melewati tanggal permohonan diterima,Mayor,tanggal permohonan set melewati tanggal permohonan terima
tanggal keputusan bisa di set melewati tanggal tanggapan,Mayor,tanggal putus an set melewati tanggal tanggapan
ketika klik simpan data langsung tersimpan tanpa ada pop up konfirmasi,Minor,klik simpan data ter simpan tanpa pop up konfirmasi
persetujuan keputusan keberatan tidak masuk ke audit trail,Mayor,persetujuan putus an beratan tidak audit trail
Placeholder tidak ada di semua kolom,Kosmetik,placeholder tidak kolom
"ketika melakukan tambah data lalu klik simpan, pop konfirmasi simpan tidak muncul, tampilan langsung pop up sukses simpan",Minor,data klik simpan pop konfirmasi simpan tidak muncul tampilan pop up sukses simpan
Ketika berhasil Setujui transaksi Konfirmasi Nilai Emisi jurnal belum tampil,Mayor,berhasil setujui transaksi konfirmasi nilai emisi jurnal belum tampil
opsi wajib bayar tidak tampil pada dropdown filter,Mayor,opsi wajib bayar tidak tampil dropdown filter
"ketika melakukan tambah data, kolom penjamin emisi efeknya tidak muncul",Mayor,data kolom penjamin emisi efeknya tidak muncul
audit trail ketika ubah data Transaksi Dasar Pengenaan Kumulatif belum tampil,Mayor,audit trail ubah data transaksi dasar pengenaan kumulatif belum tampil
Tidak bisa melakukan cetak data,Mayor,tidak cetak data
Tidak bisa melakukan cetak data,Mayor,tidak cetak data
Tidak bisa melakukan cetak data,Mayor,tidak cetak data
"ketika dokumen dengan status perlu di setujui, pada form masih terdapat opsi diajukan approval kepada",Mayor,dokumen status setujui form opsi ajukan approval
Saat melakukan setting pada Master Periode Sanksi Error,Fatal,setting master periode sanksi error
Menu Periode Sanksi belum ada di Master Data,Mayor,menu periode sanksi belum master data
Saat upload file lampiran tidak berhasil,Mayor,upload file lampiran tidak berhasil
"Audit trail Keputusan keberatan hanya menampilkan \""Review\"" dan \""Tambah\"", tanpa menampilkan \""Disetujui\""",Mayor,audit trail putus an beratan menampilkan review tanpa menampilkan disetujui
error saat Disetujui tapi berhasil saat Ditolak,Mayor,error setujui berhasil ditolak
