Log Temuan,Kategori,cleaned_text
"ketika memasukan periode awal sanksi lebih besar dari periode akhir sanksi, dokumen berhasil tersimpan",Mayor,ketika memasukan periode awal sanksi lebih besar dari periode akhir sanksi dokumen berhasil tersimpan
"Footer belum sesuai mock up:<br style=""font-size: 11.36px;"">1. Pada ""Gedung OJK Menara Radius Prawiro"" tidak ada margin, belum sesuai mock up.<br style=""font-size: 11.36px;"">2. Penamaan alamat ""Daerah Khusus Ibukota Jakarta"" tidak dibawah/sesuai mockup dan<br style=""font-size: 11.36px;"">3.terdapat nomor ""(021) 29600000"" pada web, namun pada mock up tidak terdapat<br style=""font-size: 11.36px;"">4. Pada bawah pojok, tidak ada kotak tersendiri/belum sesuai mockup.",Kosmetik,footer belum sesuai mock up [html_tag] 1 pada gedung ojk menara radius prawiro tidak ada margin belum sesuai mock up [html_tag] 2 penamaan alamat daerah khusus ibukota jakarta tidak dibawah sesuai mockup dan [html_tag] 3 terdapat nomor 021 pada web namun pada mock up tidak terdapat [html_tag] 4 pada bawah pojok tidak ada kotak tersendiri belum sesuai mockup
"Footer belum sesuai mock up:<br style=""font-size: 11.36px;"">1. Pada ""Gedung OJK Menara Radius Prawiro"" tidak ada margin, belum sesuai mock up.<br style=""font-size: 11.36px;"">2. Penamaan alamat ""Daerah Khusus Ibukota Jakarta"" tidak dibawah/sesuai mockup dan<br style=""font-size: 11.36px;"">3.terdapat nomor ""(021) 29600000"" pada web, namun pada mock up tidak terdapat<br style=""font-size: 11.36px;"">4. Pada bawah pojok, tidak ada kotak tersendiri/belum sesuai mockup.",Kosmetik,footer belum sesuai mock up [html_tag] 1 pada gedung ojk menara radius prawiro tidak ada margin belum sesuai mock up [html_tag] 2 penamaan alamat daerah khusus ibukota jakarta tidak dibawah sesuai mockup dan [html_tag] 3 terdapat nomor 021 pada web namun pada mock up tidak terdapat [html_tag] 4 pada bawah pojok tidak ada kotak tersendiri belum sesuai mockup
"Footer belum sesuai mock up:<br style=""font-size: 11.36px;"">1. Pada ""Gedung OJK Menara Radius Prawiro"" tidak ada margin, belum sesuai mock up.<br style=""font-size: 11.36px;"">2. Penamaan alamat ""Daerah Khusus Ibukota Jakarta"" tidak dibawah/sesuai mockup dan<br style=""font-size: 11.36px;"">3.terdapat nomor ""(021) 29600000"" pada web, namun pada mock up tidak terdapat<br style=""font-size: 11.36px;"">4. Pada bawah pojok, tidak ada kotak tersendiri/belum sesuai mockup.",Kosmetik,footer belum sesuai mock up [html_tag] 1 pada gedung ojk menara radius prawiro tidak ada margin belum sesuai mock up [html_tag] 2 penamaan alamat daerah khusus ibukota jakarta tidak dibawah sesuai mockup dan [html_tag] 3 terdapat nomor 021 pada web namun pada mock up tidak terdapat [html_tag] 4 pada bawah pojok tidak ada kotak tersendiri belum sesuai mockup
"Footer belum sesuai mock up:<br style=""font-size: 11.36px;"">1. Pada ""Gedung OJK Menara Radius Prawiro"" tidak ada margin, belum sesuai mock up.<br style=""font-size: 11.36px;"">2. Penamaan alamat ""Daerah Khusus Ibukota Jakarta"" tidak dibawah/sesuai mockup dan<br style=""font-size: 11.36px;"">3.terdapat nomor ""(021) 29600000"" pada web, namun pada mock up tidak terdapat<br style=""font-size: 11.36px;"">4. Pada bawah pojok, tidak ada kotak tersendiri/belum sesuai mockup.",Kosmetik,footer belum sesuai mock up [html_tag] 1 pada gedung ojk menara radius prawiro tidak ada margin belum sesuai mock up [html_tag] 2 penamaan alamat daerah khusus ibukota jakarta tidak dibawah sesuai mockup dan [html_tag] 3 terdapat nomor 021 pada web namun pada mock up tidak terdapat [html_tag] 4 pada bawah pojok tidak ada kotak tersendiri belum sesuai mockup
"Footer belum sesuai mock up:<br style=""font-size: 11.36px;"">1. Pada ""Gedung OJK Menara Radius Prawiro"" tidak ada margin, belum sesuai mock up.<br style=""font-size: 11.36px;"">2. Penamaan alamat ""Daerah Khusus Ibukota Jakarta"" tidak dibawah/sesuai mockup dan<br style=""font-size: 11.36px;"">3.terdapat nomor ""(021) 29600000"" pada web, namun pada mock up tidak terdapat<br style=""font-size: 11.36px;"">4. Pada bawah pojok, tidak ada kotak tersendiri/belum sesuai mockup.",Kosmetik,footer belum sesuai mock up [html_tag] 1 pada gedung ojk menara radius prawiro tidak ada margin belum sesuai mock up [html_tag] 2 penamaan alamat daerah khusus ibukota jakarta tidak dibawah sesuai mockup dan [html_tag] 3 terdapat nomor 021 pada web namun pada mock up tidak terdapat [html_tag] 4 pada bawah pojok tidak ada kotak tersendiri belum sesuai mockup
"untuk nilai pada table, Probability Index, Risk Impact, dan Supervisory Rating dibuatkan rata kanan",Minor,untuk nilai pada table probability index risk impact dan supervisory rating dibuatkan rata kanan
"Untuk nilai pada tabel Probability index, Impact Index, dan Supervisory rating dibuatkan rata kanan",Minor,untuk nilai pada tabel probability index impact index dan supervisory rating dibuatkan rata kanan
"Nama user ketika ""Login"", penamaannya masih ""Anonymous"" (SS1)<br><br>SS terlampir",Mayor,nama user ketika login penamaan nya masih anonymous ss 1 [html_tag] [html_tag] ss terlampir
"Hasil download pdf terpotong (rutin, ks, kp)",Minor,hasil download pdf terpotong rutin ks kp
"Hasil download pdf terpotong (rutin, ks, kp)",Minor,hasil download pdf terpotong rutin ks kp
"Hasil download pdf terpotong (rutin, ks, kp)",Minor,hasil download pdf terpotong rutin ks kp
tidak ada data record yang terekam ketika user eksternal input permintaan data,Mayor,tidak ada data record yang terekam ketika user eksternal masukan permintaan data
pada Nomor Identitas Pelaku dan Data Profil yang Dipilih datanya kosong,Minor,pada nomor identitas pelaku dan data profil yang dipilih data nya kosong
"skenario dan aplikasi berbeda, dimana skenario menuliskan ""Preview"" sedangkan Aplikasi ""Preview Data""",Minor,skenario dan aplikasi berbeda dimana skenario menuliskan preview sedangkan aplikasi preview data
Email reminder belum ada,Mayor,email reminder belum ada
Nama kolom berbeda dengan hasil preview seharusnya 'Kriteria/Indikator' bukan 'Faktor',Kosmetik,nama kolom berbeda dengan hasil preview seharusnya kriteria indikator bukan faktor
Nama kolom berbeda dengan hasil preview seharusnya 'Kriteria/Indikator' bukan 'Faktor',Kosmetik,nama kolom berbeda dengan hasil preview seharusnya kriteria indikator bukan faktor
typo pada nama kolom. seharusnya Kategori Portofolio,Kosmetik,typo pada nama kolom seharusnya kategori portofolio
tampilan pada isi pengumuman agak terpotong,Minor,tampilan pada isi pengumuman agak terpotong
Terdapat halaman kosong pada pdf yang di download,Kosmetik,terdapat halaman kosong pada pdf yang di download
"Kolom nama masa kadaluarsa di haruskan diisi sedangkan pada kolom jenis gratifikasi, kolom itu tidak memiliki masa kadaluarsa",Mayor,kolom nama masa kadaluarsa di haruskan diisi sedangkan pada kolom jenis gratifikasi kolom itu tidak memiliki masa kadaluarsa
"saat menghapus salah satu daftar pengumuman, tidak terekam di audit trail",Mayor,saat menghapus salah satu daftar pengumuman tidak terekam di audit trail
"Data nominal angka belum dalam jutaan, masih angka real.<br>",Minor,data nominal angka belum dalam jutaan masih angka real [html_tag]
"1. Penamaan tab menu penerimaan gratifikasi belum sesuai T.1.1
<br><br>&nbsp;2. Penamaan kolom uraian belum sesuai T.1.1",Mayor,1 penamaan tab menu penerimaan gratifikasi belum sesuai t 1 1 [html_tag] [html_tag] [html_tag] 2 penamaan kolom uraian belum sesuai t 1 1
Kolom 8 : nama kolom tidak sesuai&nbsp;dengan strukdat -T,Minor,kolom 8 nama kolom tidak sesuai [html_tag] dengan struktur data t
jika klik detail pada PreElemninary lalu klik lihat pada salah satu data. belum terrecord/tercatat pada audit trail,Minor,jika klik detail pada pre elemninary lalu klik lihat pada salah satu data belum terrecord tercatat pada audit trail
menu sprint corner error,Fatal,menu sprint corner error
"Pilihan jenis laporan tidak sesuai dengan yang diisikan dalam tabel<br><br>dalam tabel menyebutkan angka, sedangkan pada dropdown menyebutkan jenis laporannya<br>",Minor,pilihan jenis laporan tidak sesuai dengan yang diisikan dalam tabel [html_tag] [html_tag] dalam tabel menyebutkan angka sedangkan pada dropdown menyebutkan jenis laporan nya [html_tag]
"Ketika klik detail dan masuk ke pop up detail komponen penilaian, audit trailnya belum tampil",Minor,ketika klik detail dan masuk ke pop up detail komponen penilaian audit trailnya belum tampil
"Nilai NPL/NPF harusnya hanya menampilkan %, tetapi yg ditampilkan berupa nominal dan persen",Minor,nilai npl npf harusnya hanya menampilkan tetapi yang ditampilkan berupa nominal dan persen
Tidak ada tanda mandatory (*) pada field yang mewajibkan diisi,Kosmetik,tidak ada tanda mandatory pada field yang mewajibkan diisi
Tidak ada tanda mandatory (*) pada field yang mewajibkan diisi,Minor,tidak ada tanda mandatory pada field yang mewajibkan diisi
Pada redaksi log eror kolom 3 tidak ada tanda â€˜/â€˜ -T,Minor,pada redaksi log error kolom 3 tidak ada tanda t
Pada redaksi kolom 4 panjang karakter seharusnya 2000 digit tidak sesuai -T,Mayor,pada redaksi kolom 4 panjang karakter seharusnya 2000 digit tidak sesuai t
pada field uraian belum ada counting character,Kosmetik,pada field uraian belum ada counting character
"Field kode bisa diedit di form pada menu Kode Referensi, Kode Penerimaan, Kode Peristiwa, Status Artikel",Mayor,field kode bisa diedit di form pada menu kode referensi kode penerimaan kode peristiwa status artikel
"Kolom kode pada tab Penerimaan/Penolakan Gratifikasi kosong, padahal pada form diisi.",Minor,kolom kode pada tab penerimaan penolakan gratifikasi kosong padahal pada form diisi
"Ketika edit, data pada field ""sektor"" kosong, seharusnya data tidak kosong agar bisa melakukan edit pada field ""Sub Sektor"" dan ""Status""",Mayor,ketika edit data pada field sektor kosong seharusnya data tidak kosong agar bisa melakukan edit pada field sub sektor dan status
kolom 2: hasil redaksi referensi tidak sesuai dengan strukdat -T,Minor,kolom 2 hasil redaksi referensi tidak sesuai dengan struktur data t
Pada setiap akun tidak ada info terkini,Kosmetik,pada setiap akun tidak ada info terkini
"pada user eksternal dan user pejabat pemohon tidak ada :
<br>-Dashboard Ringkasan Statistik<br><br>pada auditor tidak ada:&nbsp;<br>-Daftar Pekerjaan",Kosmetik,pada user eksternal dan user pejabat pemohon tidak ada [html_tag] dashboard ringkasan statistik [html_tag] [html_tag] pada auditor tidak ada [html_tag] [html_tag] daftar pekerjaan
kolom 2: hasil redaksi referensi tidak sesuai  -T,Minor,kolom 2 hasil redaksi referensi tidak sesuai t
"Ketika edit, data pada field ""Sub sektor""&nbsp; tidak bisa di edit, tetapi pada skenario bisa melakukan edit pada ""Sub Sektor""",Mayor,ketika edit data pada field sub sektor [html_tag] tidak bisa di edit tetapi pada skenario bisa melakukan edit pada sub sektor
mohon tambahan data untuk menguji fitur filter pada beberapa jenis laporan,Mayor,mohon tambahan data untuk menguji fitur filter pada beberapa jenis laporan
tidak ada keterangan form berapa nya pada dropdown tabel pelaporan,Minor,tidak ada keterangan form berapa nya pada dropdown tabel pelaporan
nama kolom tidak sesuai,Minor,nama kolom tidak sesuai
nama kolom berbeda dengan sumber data,Minor,nama kolom berbeda dengan sumber data
Deskripsi pada poin Kriteria/Indikator belum sesuai seharusnya BPR Syariah,Kosmetik,deskripsi pada poin kriteria indikator belum sesuai seharusnya bpr syariah
"nama form tidak sesuai seharusnya ""Form Kertas Kerja KPMR Kredit""",Kosmetik,nama form tidak sesuai seharusnya form kertas kerja kpmr kredit
Penamaan pada kolom dan form Masih belum sesuai,Minor,penamaan pada kolom dan form masih belum sesuai
1. nama kolom berbeda<br>2. nama form berbeda<br><br>,Minor,1 nama kolom berbeda [html_tag] 2 nama form berbeda [html_tag] [html_tag]
nama form berbeda,Kosmetik,nama form berbeda
"Pada poin B.2 isian pada Preview berbeda dengan template, seharusnya ""Direksi melaksanakan penerapan prinsip tata kelola, manajemen risiko, dan kepatuhan secara terintegrasi.""<br><br>Poin B.9 kurang kalimat ""pada seluruh tingkatan atau jenjang organisasi dalam pendidikan/pelatihan dalam rangka pengembangan kualitas individu""",Minor,pada poin b 2 isian pada preview berbeda dengan template seharusnya direksi melaksanakan penerapan prinsip tata kelola manajemen risiko dan kepatuhan secara terintegrasi [html_tag] [html_tag] poin b 9 kurang kalimat pada seluruh tingkatan atau jenjang organisasi dalam pendidikan pelatihan dalam rangka pengembangan kualitas individu
nama form berbeda,Kosmetik,nama form berbeda
nama kolom dan nama form tidak sesuai,Minor,nama kolom dan nama form tidak sesuai
Nama Form tidak sesuai,Kosmetik,nama form tidak sesuai
"Baris C.4 pada preview penulisan pada Template yaitu ""Dewan Komisaris menyampaikan laporan-laporan terkait fungsi Dewan Komisaris kepada Otoritas Jasa Keuangan sebagaimana diatur dalam ketentuan Otoritas Jasa Keuangan secara lengkap, akurat, kini, utuh, dan tepat waktu"" berbeda",Minor,baris c 4 pada preview penulisan pada template yaitu dewan komisaris menyampaikan laporan laporan terkait fungsi dewan komisaris kepada otoritas jasa keuangan sebagaimana diatur dalam ketentuan otoritas jasa keuangan secara lengkap akurat kini utuh dan tepat waktu berbeda
"Baris C.4 pada preview penulisan pada Template yaitu ""Dewan Komisaris menyampaikan laporan-laporan terkait fungsi Dewan Komisaris kepada Otoritas Jasa Keuangan sebagaimana diatur dalam ketentuan Otoritas Jasa Keuangan secara lengkap, akurat, kini, utuh, dan tepat waktu"" berbeda",Minor,baris c 4 pada preview penulisan pada template yaitu dewan komisaris menyampaikan laporan laporan terkait fungsi dewan komisaris kepada otoritas jasa keuangan sebagaimana diatur dalam ketentuan otoritas jasa keuangan secara lengkap akurat kini utuh dan tepat waktu berbeda
nama form dan nama kolom tidak sesuai,Minor,nama form dan nama kolom tidak sesuai
Nama Form dan Nama Kolom masih belum sesuai,Minor,nama form dan nama kolom masih belum sesuai
Nama Form dan Nama Kolom masih belum sesuai,Minor,nama form dan nama kolom masih belum sesuai
nama form tidak sesuai,Kosmetik,nama form tidak sesuai
nama form tidak sesuai,Kosmetik,nama form tidak sesuai
Nama form tidak sesuai,Kosmetik,nama form tidak sesuai
Nama Form dan Nama Kolom masih belum sesuai,Minor,nama form dan nama kolom masih belum sesuai
Nama Form dan Nama Kolom masih belum sesuai,Minor,nama form dan nama kolom masih belum sesuai
nama form tidak sesuai,Minor,nama form tidak sesuai
"Poin A.1 berbeda dengan Template seharusnya ""BPR Syariah telah memiliki Komite Direksi dan Komite Dewan Komisaris sesuai dengan ketentuan Otoritas Jasa Keuangan""",Minor,poin a 1 berbeda dengan template seharusnya bpr syariah telah memiliki komite direksi dan komite dewan komisaris sesuai dengan ketentuan otoritas jasa keuangan
"Baris B.1 pada kalimat terakhir pada template ""BPR sesuai dengan kebijakan benturan kepentingan"" berbeda dengan preview",Minor,baris b 1 pada kalimat terakhir pada template bpr sesuai dengan kebijakan benturan kepentingan berbeda dengan preview
Nama Form dan Nama Kolom masih belum sesuai,Minor,nama form dan nama kolom masih belum sesuai
Nama form masih sesuai (ss)<br><br>typo pada Nama Kolom (ss1),Minor,nama form masih sesuai ss [html_tag] [html_tag] typo pada nama kolom ss 1
Poin B tidak sesuai dengan template,Minor,poin b tidak sesuai dengan template
"ketika berhasil mengubah data pada field ""Status"" menjadi ""Aktif"" , tampilan pada form tetap ""Tidak Aktif"" ",Mayor,ketika berhasil mengubah data pada field status menjadi aktif tampilan pada form tetap tidak aktif
Nama form belum sesuai,Minor,nama form belum sesuai
"ketika berhasil menambahkan data, pada field ""Status"" ""Aktif"" , tampilan pada form tetap ""Tidak Aktif""",Mayor,ketika berhasil menambahkan data pada field status aktif tampilan pada form tetap tidak aktif
Nama form belum sesuai,Minor,nama form belum sesuai
"Filter tidak berfungsi dengan semestinya.<br>Ketika memfilter ""Lintas Sektor"" yang muncul data yang lain.",Mayor,filter tidak berfungsi dengan semestinya [html_tag] ketika memfilter lintas sektor yang muncul data yang lain
status pada internal terjadwal namun jika di cek pada psm eksternal status yang keluar belum sesuai,Mayor,status pada internal terjadwal namun jika di cek pada psm eksternal status yang keluar belum sesuai
tidak ada button upload,Mayor,tidak ada button upload
Typo kurang spasi,Kosmetik,typo kurang spasi
Typo kurang tanda /,Kosmetik,typo kurang tanda
"1) kolom 6: pesan kesalahan rumus pada sandi 7100, 7200, 7300, 7400 salah<br><br>2) kolom 10: pesan kesalahan rumus pada sandi 7100, 7200, 7300, 7400 salah<br><br>3) pesan kesalahan validasi kolom 6 dan 10 salah untuk kode 7600<br><br>4) hasil redaksi tidak sesuai, seharusnya 'baris detail' bukan 'baris form' -T",Mayor,1 kolom 6 pesan kesalahan rumus pada sandi 7100 7200 7300 7400 salah [html_tag] [html_tag] 2 kolom 10 pesan kesalahan rumus pada sandi 7100 7200 7300 7400 salah [html_tag] [html_tag] 3 pesan kesalahan validasi kolom 6 dan 10 salah untuk kode 7600 [html_tag] [html_tag] 4 hasil redaksi tidak sesuai seharusnya baris detail bukan baris form t
"Pilihan jenis kur tidak sesuai dengan jenis kur yang tertera di tabel, dan di template",Minor,pilihan jenis kur tidak sesuai dengan jenis kur yang tertera di tabel dan di template
Nama judul kolom berbeda dengan Template,Minor,nama judul kolom berbeda dengan template
"1. Untuk penamaan Form kertas kerja berbeda ""Kertas Kerja"" dan ""Kertas Kerja (Activity)"".<br>2. Pada penamaan ""Aktivitas"" menggunakan bahasa sedangkan penamaan (Total Document, Order Num, Status, Action) yang lain menggunakan bahasa asing.<br><br>Sebaiknya penamaan form/object dibuat konsisten",Kosmetik,1 untuk penamaan form kertas kerja berbeda kertas kerja dan kertas kerja activity [html_tag] 2 pada penamaan aktivitas menggunakan bahasa sedangkan penamaan total document order num status action yang lain menggunakan bahasa asing [html_tag] [html_tag] sebaiknya penamaan form object dibuat konsisten
data pada 2 kolom terakhir tidak tampil&nbsp;pada pelaporan koreksi semesteran dan pengkinian&nbsp;,Mayor,data pada 2 kolom terakhir tidak tampil [html_tag] pada pelaporan koreksi semesteran dan pengkinian [html_tag]
Halaman lebih pada hasil download Pdf,Minor,halaman lebih pada hasil download pdf
isi dari kolom keterangan beberapa ada yang tidak sesuai seperti pada gambar<br><br>,Mayor,isi dari kolom keterangan beberapa ada yang tidak sesuai seperti pada gambar [html_tag] [html_tag]
email yang masuk belum sesuai dengan hasil yang diharapkan,Kosmetik,email yang masuk belum sesuai dengan hasil yang diharapkan
penamaan file upload belum sesuai,Minor,penamaan file upload belum sesuai
"Emiten keduplikat seluruh subsubsektor, seharusnya menampilakn subsubsektor yang sesuai",Mayor,emiten keduplikat seluruh subsubsektor seharusnya menampilakn subsubsektor yang sesuai
Selesai Pengembalian/DIbatalkan Oleh Pemohon/Pengembalian Izin  ditake out dari data karena bukan merupakan data izin bermasalah,Minor,selesai pengembalian dibatalkan oleh pemohon pengembalian izin ditake out dari data karena bukan merupakan data izin bermasalah
"DItambahkan Expected Flow misalnya Flow yang belum pernah dilalui, agar bisa digunakan untuk maju mundur izin (sesuai dengan tiket helpdesk) dan Flow Selesai untuk menyelesaikan izin",Minor,ditambahkan expected flow misalnya flow yang belum pernah dilalui agar bisa digunakan untuk maju mundur izin sesuai dengan tiket helpdesk dan flow selesai untuk menyelesaikan izin
"tidak  ada tombol ""cancel"" di sebelah tombol tampilkan yang sesuai dengan mockup",Mayor,tidak ada tombol cancel di sebelah tombol tampilkan yang sesuai dengan mockup
ketika sudah mengisi Nomor SID dan Trading ID. lalu klik dropdown pada Nama SID. datapada Nomor SID atau Trading ID langsung hilang,Minor,ketika sudah mengisi nomor sid dan trading id lalu klik dropdown pada nama sid datapada nomor sid atau trading id langsung hilang
setelah isi data lalu klik kirim email namun belum klik simpan. data yang tampil pada email data yang terbaru yang belum di klik simpan,Mayor,setelah isi data lalu klik kirim email namun belum klik simpan data yang tampil pada email data yang terbaru yang belum di klik simpan
pada web tidak ada kolom Nama SID dan Nama Lawan SID,Minor,pada web tidak ada kolom nama sid dan nama lawan sid
semua filter berupa dropdown,Kosmetik,semua filter berupa dropdown
"pada web, kurang kolom ""jenis SID""&nbsp;<br>",Minor,pada web kurang kolom jenis sid [html_tag] [html_tag]
"pada filter:<br>-Kotak merah di filter periode pakai bahasa inggris ""Start Date"" dan ""End Date""<br>-kotak biru: pada web ada NIK, sedangkan pada mockup tidak ada.<br>-kotak hijau: KTP pada mockup ada, namun pada website tidak ada",Minor,pada filter [html_tag] kotak merah di filter periode pakai bahasa inggris start date dan end date [html_tag] kotak biru pada web ada nik sedangkan pada mockup tidak ada [html_tag] kotak hijau ktp pada mockup ada namun pada website tidak ada
"pada web, kurang kolom ""jenis SID""&nbsp;",Minor,pada web kurang kolom jenis sid [html_tag]
"tidak ada tombol ""cancel"" di sebelah tombol tampilkan yang sesuai dengan mockup",Mayor,tidak ada tombol cancel di sebelah tombol tampilkan yang sesuai dengan mockup
typo pada pesan kesalahan kolom 2,Kosmetik,typo pada pesan kesalahan kolom 2
pada skenario ada dropdown pada popup untuk memilih penggunaan data. namun pada web tidak ada,Minor,pada skenario ada dropdown pada popup untuk memilih penggunaan data namun pada web tidak ada
Nama field tidak sesuai ,Kosmetik,nama field tidak sesuai
kolom 2 seharusnya maksimal 4 digit dengan kode 1800,Mayor,kolom 2 seharusnya maksimal 4 digit dengan kode 1800
pada filter daily tidak ada filter Value/Volume/Market,Minor,pada filter daily tidak ada filter value volume market
pada table net buy di mockup tidak ada kata (sell),Minor,pada table net buy di mockup tidak ada kata sell
pada mockup tidak ada filter Value/Volume/Market Cap. namun pada website ada,Minor,pada mockup tidak ada filter value volume market cap namun pada website ada
"pada hasil gainers dan losers, tidak ada page seperti di mockup",Kosmetik,pada hasil gainers dan losers tidak ada page seperti di mockup
"Hasil preview dan Download tidak sesuai dengan template/txt sumber data bertambah desimal (,00)<br>",Minor,hasil preview dan download tidak sesuai dengan template txt sumber data bertambah desimal 00 [html_tag]
"Ubah Data
<br>Pada tambah data Temuan dan Rekomendasi, belum dapat Download Template",Mayor,ubah data [html_tag] pada tambah data temuan dan rekomendasi belum dapat download template
"Ubah Data Pada Upload Dokumen Pendukung &gt; Pengisian Data Pengiirm ""Eksternal"" maupun Penerima ""Eksternal"", isian data Selaku belum terdapat pilihan dan tidak dapat diisi manual",Minor,ubah data pada upload dokumen pendukung [html_tag] pengisian data pengiirm eksternal maupun penerima eksternal isian data selaku belum terdapat pilihan dan tidak dapat diisi manual
"di web, tidak seharusnya tampil error. kecuali hanya di lokal",Mayor,di web tidak seharusnya tampil error kecuali hanya di lokal
Tidak ada kolom Volume dan Bond Late Completeness Status Code pada Tabel,Minor,tidak ada kolom volume dan bond late completeness status code pada tabel
Nama kolom 4 seharusnya Keterangan ,Minor,nama kolom 4 seharusnya keterangan
saat meng-edit jangka waktu bulan dari tanggal mulai 01 - 01 - 2025 dengan jeda 3 bulan  setelah di-generete Tanggal selesai tetap 01 - 01 - 2025,Minor,saat meng edit jangka waktu bulan dari tanggal mulai 01 01 2025 dengan jeda 3 bulan setelah di generete tanggal selesai tetap 01 01 2025
Nama kolom tidak sesuai,Minor,nama kolom tidak sesuai
Download Templete terjadi kesalahan,Mayor,download templete terjadi kesalahan
"1. Isi kolom Case ID dan Trade No tidak terlihat semua pada PDF
<br><br>&nbsp;2. Isi kolom Trade No dan Trade Date SK pada pdf tidak sesuai dengan tabel di web",Minor,1 isi kolom case id dan trade no tidak terlihat semua pada pdf [html_tag] [html_tag] [html_tag] 2 isi kolom trade no dan trade date sk pada pdf tidak sesuai dengan tabel di web
"Pada dokumen pendukung, saat menambahkan dokumen pendukung untuk penerima dan pengirim external ""Selaku"" tidak ada pilihan",Minor,pada dokumen pendukung saat menambahkan dokumen pendukung untuk penerima dan pengirim external selaku tidak ada pilihan
Hasil download excel ada tambahan spasi,Kosmetik,hasil download excel ada tambahan spasi
"ada typo pada isian di kolom Kriteria/Indikator poin B.6, seharusnya ""PPAP/CKPN""",Kosmetik,ada typo pada isian di kolom kriteria indikator poin b 6 seharusnya ppap ckpn
Tidak ada tombol export excel dan pdf,Mayor,tidak ada tombol export excel dan pdf
"1. Kolom 3 dan 7 pada strukdat boleh negatif<br><br>2. Kolom 9 selain&nbsp;7310, 7311, 7312, 7410, 7411 7500, 7600 opsional namun muncul pesan wajib bernilai sesuai strukdat jika dikosongkan<br><br>3. kolom 8 selain&nbsp;7500, 7600 opsional namun muncul pesan wajib bernilai sesuai strukdat jika dikosongkan<br><br>4. Pesan terkait jumlah baris detil menampilkan F02 sementara footer sampai F05",Mayor,1 kolom 3 dan 7 pada struktur data boleh negatif [html_tag] [html_tag] 2 kolom 9 selain [html_tag] 7310 7311 7312 7410 7411 7500 7600 opsional namun muncul pesan wajib bernilai sesuai struktur data jika dikosongkan [html_tag] [html_tag] 3 kolom 8 selain [html_tag] 7500 7600 opsional namun muncul pesan wajib bernilai sesuai struktur data jika dikosongkan [html_tag] [html_tag] 4 pesan terkait jumlah baris detil menampilkan f 02 sementara footer sampai f 05
"di Presentase By Segment pada tulisan ""%Transaction Freq"" tertutup oleh chart. 

angka di dalam chart, pada mockup di luar chart",Kosmetik,di presentase by segment pada tulisan transaction freq tertutup oleh chart angka di dalam chart pada mockup di luar chart
pada:&nbsp;<br>-Recency<br>-Frequency<br>-Monetary<br>-New Client VS Client<br>-Investor Origin<br>-Investor Type<br>angkanya di dalam chart<br>,Kosmetik,pada [html_tag] [html_tag] recency [html_tag] frequency [html_tag] monetary [html_tag] new client vs client [html_tag] investor origin [html_tag] investor type [html_tag] angka nya di dalam chart [html_tag]
Tabulasi Menu Summary Transaction SID tidak bisa di klik pada Basis Investor maupun Detail Basis Investor<br>,Kosmetik,tabulasi menu summary transaction sid tidak bisa di klik pada basis investor maupun detail basis investor [html_tag]
"pada Detail Basis Investor, ketika klik tabulasi menu Basis Investor, tidak bisa ke menu Basis Investor<br>",Minor,pada detail basis investor ketika klik tabulasi menu basis investor tidak bisa ke menu basis investor [html_tag]
"Mohon untuk ditambahkan Nomor pada setiap tabel :<br>- Fokus Pemeriksaan
<br>- Fokus Pengawasan
<br>- Daftar Tim Pemeriksa",Minor,mohon untuk ditambahkan nomor pada setiap tabel [html_tag] fokus pemeriksaan [html_tag] fokus pengawasan [html_tag] daftar tim pemeriksa
"Penambahan daftar tim pemeriksa pada pemilihan SELAKU "" KETUA"" bisa dipilih lebih dari 1 ketua",Mayor,penambahan daftar tim pemeriksa pada pemilihan selaku ketua bisa dipilih lebih dari 1 ketua
"pada web filter ""PE"". di mockup ""Nama PE""",Kosmetik,pada web filter pe di mockup nama pe
"Berkaitan dengan Temuan No.1 & No.4 terkait download Template, saat akan upload Excel belum dapat dilakukan",Mayor,berkaitan dengan temuan no 1 no 4 terkait download template saat akan upload excel belum dapat dilakukan
Untuk Kolom Aksi bisa diletakan pada kolom terakhir,Kosmetik,untuk kolom aksi bisa diletakan pada kolom terakhir
pada jenis SID dropdownnya tidak berfungsi<br>,Minor,pada jenis sid dropdownnya tidak berfungsi [html_tag]
"ketika klik salah satu nomor SID pada hasil filter, tidak tersambung ke SID dan terjadi error",Minor,ketika klik salah satu nomor sid pada hasil filter tidak tersambung ke sid dan terjadi error
"Karena bisa menambahkan lebih dari 1 dokumen, mohon untuk tabel ditambahkan kolom nomor",Minor,karena bisa menambahkan lebih dari 1 dokumen mohon untuk tabel ditambahkan kolom nomor
pada hasil export pdf. di periode awal dan periode akhirnya masih belum sesuai,Kosmetik,pada hasil export pdf di periode awal dan periode akhirnya masih belum sesuai
"Saat username salah, muncul pesan ""Username/password salah"" dengan teks berwarna hitam di atas background merah.<br><br>Dari sisi visibilitas, kombinasi warna ini cukup sulit terbaca oleh user karena kurang kontras. Mohon pertimbangannya untuk penyesuaian warna teks atau background agar pesan error bisa lebih jelas dan mudah terlihat.",Kosmetik,saat username salah muncul pesan username password salah dengan teks berwarna hitam di atas background merah [html_tag] [html_tag] dari sisi visibilitas kombinasi warna ini cukup sulit terbaca oleh user karena kurang kontras mohon pertimbangan nya untuk penyesuaian warna teks atau background agar pesan error bisa lebih jelas dan mudah terlihat
