Log Temuan,Kategori
Export pdf belum berjalan,Mayor
"Pada T.1.1 Output no.2 pada item data terdapat (Jenis identitas, nomor identitas, nama identitas, sector, sub sector, sub sub sector, ID lisensi, transaksi ID) sedangkan pada output tidak terdapat ( Jenis identitas, nomor identitas, nama identitas dan&nbsp; untuk penamaan licenseNo tidak sesuai dengan (t.1.1 id lisensi)",Mayor
"Menu Overview Sanksi masih kosong, belum ada tampilannya",Mayor
Untuk setiap data hasil tarikan dari export excel maupun pdf tabel nya agar diberikan nama atau judul tabel nya saat dokumen tersebut dibuka,Minor
belum bisa tambah data aktivitas pendukung - latar belakang,Mayor
"Pada T.1.1 Output no.3 pada item data terdapat (ID dokumen, ID transaksi, ID lisensi, tipe proses ID, nama dokumen, tipe dokumen, size dokumen,) sedangkan pada output tidak terdapat ( id transaksi, id lisensi, tipe proses id, tipe dokumen, size dokumen)",Mayor
jenis risiko yang tampil pada admindmrs tidak sesuai dengan yang diinput pada rqosatkerdpai,Minor
1. tidak ada spasi pada kolom sanksid<br><br>2. tidak ada nama tabel,Kosmetik
Sukses tapi data pada subsector 83 tidak ada,Mayor
belum ada Audit Trail akses saat akses menu pada Sanksi SIPPDP,Mayor
kolom isupdate mohon tidak ditampilkan,Minor
login dan logout belum tercatat,Mayor
"dari 5 email yang terkirim ,&nbsp; hanya 1 yang masuk.",Mayor
"Saat ubah Status SP 2 menjadi Selesai dengan kondisi terdapat SP 3 dengan Status Dalam Monitoring, notif gagal ubah status belum ada keterangan lebih lanjutnya",Minor
Session timeout kurang dari 10 menit ,Minor
Pada saat login tidak bisa enter harus klik manual ke icon login nya,Minor
Pada Get Dokumen SK Sukses tapi data pada subsector 260 tidak ada,Mayor
"Audit Trail agar&nbsp;ditampilkan secara detail untuk keperluan pengetesan seperti Aksi Download, Lihat, Expand, dan lainnya secara Detail pada All Menu dan All User",Mayor
Nama kolom tidak sesuai dengan T43<br><br>,Kosmetik
"tidak bisa hapus Latar Belakang - Aktivitas Pendukung, muncul pesan error",Mayor
"nama kolom ""PICEksternal"" kurang spasi",Kosmetik
"Belum menyimpan record export, hapus download, upload",Mayor
Tidak bisa download pdf ,Mayor
Surat Efektif belum ada,Mayor
"Pada dokumen ke 2, terdapat penamaan yang belum sesuai (SS1)<br><br>SS terlampir",Kosmetik
Seharusnya hanya ada 9 jenis risiko yang tampil sesuai di T11,Mayor
"Jika filter Industri tidak diisi, tabel dan chart tidak tampil",Mayor
Tampilan Pie Chart untuk keterangannya bertabrakan dengan hasil pie chart sehingga tidak terbaca dengan baik,Minor
penaamaan field belum sesuai,Kosmetik
Audit Trail Download Excel & Pdf tidak sesuai,Minor
"Saat Filter &amp; Find, serta view data tidak muncul log pada Audit Trail",Minor
penamaan legend pada diagram Pengenaan dan Pencabutan belum sesuai dengan mockup,Kosmetik
penamaan menu berbeda dengan mockup,Kosmetik
Perbedaan penamaan menu pada mockup dan aplikasi,Kosmetik
Validasi mandatory tidak muncul,Mayor
penamaan legend pada diagram Pengenaan dan Pencabutan belum sesuai dengan mockup,Kosmetik
"Saat menyimpan ubah status menjadi ""selesai"" Admin DRPK Melakukan Analisis pada Data Tindak Lanjut Skenario yang Sudah disetujui oleh Kadep",Minor
Tahun nya belum sesuai<br><br>SS terlampir,Kosmetik
Audit Trail tidak muncul pada saat melakukan Filtering,Minor
miniword belum mereplace inputan dari field di atasnya,Mayor
Jenis Risiko setelah melakukan submit tidak tampil,Minor
"Penamaan Alert tidak sesuai Field (field jenis pelaku, alertnya kewarganegaraan)",Minor
belum ada log aktivitas user mengakses menu di sanksi SIPPDP,Mayor
Tampilan pada hasil download Excel & Pdf pada kolom Risiko Keuangan berbeda warna dengan web (seharusnya hitam & Hijau),Kosmetik
TIdak bisa memilih baris,Mayor
"Hasil Download Pdf berbeda dengan web, Alignment tidak center",Kosmetik
"Penamaan Alert kurang lengkap, harusnya<b> Nama Wajib Bayar&nbsp;</b>",Minor
"Waktu di notifikasi tidak sesuai pada saat input data (ditunjuk ke satker dkeu), saat coba tambah data baru notifikasinya juga tidak muncul setelah approved (ditunjuk ke satker dlog dan sudah approved)",Mayor
Penamaan Alert tidak sesuai Field,Minor
Edit Surat Sanksi belum berfungsi,Mayor
"Penamaan Alert kurang lengkap, seharusnya&nbsp;<b style=""font-size: 11.36px;"">&nbsp;Kelurahan / Desa</b>",Minor
"Penamaan Alert kurang lengkap, seharusnya  <b>Kota / Kabupaten</b>",Minor
Label Field belum&nbsp;sejajar satu sama lain,Minor
"Pada aksi seharusnya ada tambah data Master CCnV, tidak hanya ubah dan hapus data",Minor
"Ketika melakukan upload dokumen eksternal, pop up yang muncul hanya pop up berhasil, untuk pop up ''apakah anda yakin unggah dokumen?' belum tampil",Mayor
data Riwayat Dokumen belum muncul,Mayor
Fax tidak mandatory tetapi muncul alert&nbsp;,Minor
"Pada data yang ada, monitoring IRU nya tidak ditemukan",Mayor
Hasil Download Excel tidak muncul pada Audit Trail,Minor
Hasil Download Excel tidak muncul pada Audit Trail,Minor
Hasil Download Pdf tidak muncul pada Audit Trail,Minor
"Hasil Download Pdf berbeda, Header kolom Nomor dan Nama Risiko tidak Center",Minor
"Pada aksi seharusnya ada tambah data Master Konversi Level KPM, tidak hanya ubah dan hapus data",Minor
kolom index nomor jika tidak diisi berubah menjadi minus,Minor
"Tidak ada history saat menjalankan skenario, hanya muncul aksi masuk dan aksi keluarnya saja<br>User:<br>- Admin DMRS<br style=""font-size: 11.36px;"">- Direktur DMRS<br style=""font-size: 11.36px;"">- Kadep DRPK<br style=""font-size: 11.36px;"">- RQO Satker DPAI",Minor
"Setelah berhasil membuat akun (tester80) pada ""form registration"" log pada audit trail tidak tercatat.",Mayor
"poin: ""Perubahan Status untuk Jenis Sanksi â€œOtomatisâ€ Dalam hal suatu sanksi berjenis â€œOtomatisâ€, maka ketika sudah tanggal jatuh tempo, maka Aplikasi secara otomatis akan mengubah status sanksi tersebut menjadi â€œDicabutâ€."" belum berfungsi",Mayor
"poin: ""Perubahan Status untuk Jenis Sanksi â€œOtomatisâ€ Dalam hal suatu sanksi berjenis â€œOtomatisâ€, maka ketika sudah tanggal jatuh tempo, maka Aplikasi secara otomatis akan mengubah status sanksi tersebut menjadi â€œDicabutâ€. belum berfungsi",Mayor
"pada tambah tindak lanjut, label belum lengkap",Kosmetik
"Peorangan -&gt; WNI -&gt; Provinsi, pada Papua Tengah, Papua Pegunungan, Papua Selatan, Papua Barat Daya, tidak bisa memilih data pada ""Kota / Kabupaten""",Mayor
label notif validasi berbeda dengan label pada form,Kosmetik
"Penamaan isi field dan isi data field  pada detail surat sanksi tidak sama dengan mockup, pada mockup Pelanggaran (jenis Pelanggaran) pada aplikasi Acuan Peraturan (dasar peraturan ojk)",Mayor
Data checklist OJK Wide tidak muncul,Mayor
"Menggunakan tipe ""Non Perorangan"" setelah memilih ""Lembaga Penunjang PVML"" pada bagian Sub Sub Sektor tidak ada datanya.<br>",Mayor
"Tidak ada button ""Submit"" nya (SS1)<br><br>SS terlampir",Mayor
Preview Detail kolom Jenis Mitigasi dan Periode Pelaksanan terpotong,Kosmetik
Hasil Download Pdf bagian Header berbeda dengan Preview,Kosmetik
"1.Menggunakan tipe ""Non Perorangan"" setelah memilih ""SRO"" pada bagian Sub Sub Sektor tidak ada datanya. (G1)<br><br>2.Menggunakan tipe ""Non Perorangan"" setelah memilih ""Asosiasi"" pada bagian Sub Sub Sektor tidak ada datanya. (G2)",Mayor
Data yang akan di Approve tidak muncul pada akun kadepdrpk,Mayor
"Pada step 1 (Formulir Perizinan), pada field bermandatory ""Nama Konsultan Hukum"", tidak di input, namun bisa lanjut sampai ke step 3 ""Konfirmasi"", pada field nya dengan keterangan "" - ""(SS1)<br><br>SS terlampir",Mayor
"1. Menggunakan tipe ""Non Perorangan &amp; Perorangan"" setelah memilih ""Pihak Lainnya"" pada bagian Sub Sub Sektor tidak ada datanya.(G1)<br><br>2.&nbsp;Menggunakan tipe ""Non Perorangan &amp; Perorangan"" setelah memilih ""Manajemen Strategis"" pada bagian&nbsp; Sub Sektor tidak ada datanya.(G2)<br><br><br style=""font-size: 11.36px;"">3.&nbsp;Menggunakan tipe ""Non Perorangan &amp; Perorangan"" setelah memilih ""Alternatif Penyelesaian Sengketa"" pada bagian&nbsp; Sub Sektor tidak ada datanya.(G3)<br><br>",Mayor
"Pada step 1, penamaannya belum sesuai dengan mockup nya (SS1)<br><br>SS terlampir",Kosmetik
Tampilan pada Statistik Pergerakan Peringkat Risiko ada perbedaan pada kolom Hasil Bottom Up dan Skor Akhir dengan yang ada di T.1.1,Kosmetik
"1. belum ada kolom ""dibuat oleh""
<br><br>2. Belum ada button detail",Mayor
"Hasil Download Pdf berbeda, tidak Alignment Center",Kosmetik
"1. pada kolom aksi belum ada button detail sesuai mockup
<br><br><br>&nbsp;2. pada mockup untuk status (selesai) sedangkan pada aplikasi (memenuhi dan tidak memenuhi)",Mayor
Tidak ada history saat klik menu IRU yang lain,Minor
"jika Status diisi ""Ditingkatkan"", belum ada perubahan pada kolom-kolom",Mayor
ketika melakukan pencarian hanya memilih atau hanya cheklist pada produk/non produk lalu klik cari muncul pop up warning,Mayor
ketika melakukan pencarian memilih&nbsp;cheklist&nbsp;pada produk/non produk dan perorangan/lembaga lalu klik cari muncul pop up warning,Mayor
ini harusnya kalau enable field nya mandatory,Minor
masih ada beberapa nomor pada Profil Risiko OJK tahunan yang tidak bisa di Expand,Minor
Surat pencabutan sanksi masih ikut tampil pada rekap pengenaan sanksi,Mayor
"pada tab latar belakang di Latar Belakang - Dokumen Pendukung nya masih kurang table ""dibuat oleh"" dan kurang button ""detail"" pada table aksi",Minor
di tindak lanjut  belum ada tombol aksi detail,Minor
Hasil Download Pdf berbeda pada kolom Header (tidak Alignment Center)<br>,Kosmetik
"Pada menu overview field industri diaplikasi hanya ada 3 pilihan industri (Asuransi Umum Syariah, Asuransi Jiwa Syariah, Reasuransi Syariah) berbeda dengan modul T.1.1 dan mock up ada tambahan pilihan SEMUA",Minor
Tidak bisa memilih baris ,Mayor
data yang sudah di input dan sumbit tidak muncul pada Profil Risiko OJK Tahunan padahal sudah menyesuaikan Jenis Risiko nya,Mayor
Tidak ada history saat download pdf pada menu Dashboard Manajemen Risiko &gt; Statistik Event,Minor
Tidak ada Button Approve pada akun Kadepdrpk,Mayor
aksi download pdf dan excel pada kertas kerja KPM satker dan analisis tidak masuk auditÂ trail,Minor
Muncul popup notifikasi terjadi kesalahan pada saat memproses permintaan,Mayor
"Pada field ""Nama Manajer Investasi"" belum sesuai (masih disable, seharusnya enable)=&gt; (SS1)<br><br>SS terlampir",Minor
"Terdapat ""TTE Proses Form"" (SS1)<br><br>SS terlampir",Minor
Kolom keterjadian masih muncul pada saat tambah event,Mayor
"Ketika klik button ""Menetapkan"", muncul alert dan tidak bisa lanjut ke proses menetapkan (SS1)<br><br>SS terlampir",Mayor
"Button tambah tidak berfungsi, sehingga tidak bisa tambah data&nbsp;(SS1)<br><br>SS terlampir",Mayor
"Setelah ""Konsep Surat Penolakan"" step selanjutnya belum sesuai (SS1)<br><br>SS terlampir",Mayor
"ketika melakukan pencarian tanggal selesai dengan mengisi tanggal selesai hanya 1 berhasil melakukan pencarian dan ketika mengisi tanggal selesai keduanya lalu muncul ""pop up"" notifikasi peringatan",Mayor
"ketika mencari Pemroses KR/KO saya memilih salah satu pilihan  ""Kantor OJK Provinsi Jawa Barat"" dan menceklist produk tetapi muncul pop up notifikasi peringatan",Mayor
"Penamaan belum sesuai (typo) pada pop up alert yang muncul ketika setelah klik button ""Generate"" pada ""Booking Number"" (SS1)<br><br>SS terlampir",Kosmetik
"1.Ketika buat kertas kerja pada pengisian Kriteria tab Inherent Risk, notifikasi yang muncul ""Gagal"" namun data berhasil ditambahkan<br><br>2.Belum ada data Nomor STTD, Nama KH, Nomor Surat Sanksi, Tanggal Sanksi dan Link Surat pada kolom dashboard rekap sanksi<br><br>3. Belum terdapat item data Kantor KH, Probabilty Index, Impact Index, Risk Impact, Supervisory Rating, Supervisory Attention pada Tabel",Mayor
"1. Untuk Tombol Tambah Prameter bisa dibuat dengan warna tulisan yang lebih jelas (hitam atau putih).
<br><br><br>&nbsp;2. tombol Ubah dan Hapus untuk menyeragamkan dengan lainnya bisa dengan tombol ikon",Minor
"untuk kolom aksi (edit, hapus, detail)  bisa lebih jelas dengan tulisan saja  (AKSI) tidak dengan logo #",Kosmetik
pesan alert belum sesuai,Kosmetik
Tidak berhasil melakukan export excel,Mayor
"Export Excel ""500, terjadi kesalahan di server""",Mayor
Tidak ada jalur scrol ke bawah atau yg membedakan / menandai bahwa masih ada menu selanjutnya dibawahnya pada menu Sumber Data RAKH,Kosmetik
"ketika klik simpan 2x, terjadi kesalahan dan muncul notifikasi ""Invalid file extension. Only image allowed""",Mayor
"Tidak bisa mengubah judul atau deskripsi, jika tidak mengupload gambar. Muncul notifikasi ""Invalid file extension. Only image allowed"".",Mayor
tidak ada batasan maksimum karakter input pada kolom NIP,Mayor
Field NIP dapat diisi dengan tipe data String.,Minor
Tidak bisa simpan data. Munucul system error pada field NIP.,Mayor
Isi deskripsi melewati batas kotak popup ,Kosmetik
Penomoran pada kolom pengajuan Checker dan approval belum berurutan (page 1 nomor 1 - 10 dan page 2 berulang lagi nomor 1 - 10),Minor
Isi judul tidak terlihat semua di popup,Kosmetik
Field tanggal lahir dapat di isi pada tanggal setelah hari ini.,Mayor
"1. saat klik edit pada data yang ingin di edit, dan klik simpan. terjadi double data
<br><br>&nbsp;2. saat ingin menghapus data yang sudah dipilih, bukan data yang dipilih yang terhapus, melainkan data lain yang tidak dipilih<br><br>3. Data yang dipilih sebelumnya sudah diklik hapus, namun tidak bisa terhapus (data tidak hilang). ketika ingin dihapus ada notifikasi&nbsp;Data Tidak Ditemukan",Mayor
Tidak dapat hapus data ,Mayor
Pada filter tanggal kirim belum berfungsi,Mayor
"Saat menekan tombol ""Hapus Gambar"", muncul notifikasi ""Gambar berhasil dihapus"" padahal tidak ada gambar.",Mayor
"Notifikasi kurang spesifik saat file yang diupload bukan ekstensi gambar (pdf, dll)",Minor
"Ketika sudah input di eksternal, di internal, yang sudah di input hanya bertanda minus (-) (SS1)<br><br>SS terlampir",Minor
"Ketika melihat detail sebuah laporan yang ada, beberapa field pada form masih aktif / belum berstatus disabled",Mayor
"Terdapat button ""Input Nomor Surat"" (SS1)<br><br>SS terlampir",Minor
"Ketika pengguna menekan tombol edit pada salah satu item di daftar laporan, halaman yang tampilkan tidak memunculkan Menu ""Pemberi Gratifikasi"", ""Penerimaan Gratifikasi"", dan ""Dokumen Lampiran"". Menu ini baru muncul setelah pengguna menekan tombol simpan.",Minor
"ketika klik download, tidak ada data sama sekali",Mayor
"1. Belum ada<b>&nbsp;</b>Human Verification atau Bot Prevention&nbsp;seperti captcha etc pada halaman log in<br><br>2. belum ada pembatasan jumlah log on yang gagal. setelah percobaan 10 kali gagal log on, belum ada pemblokiran sementara akun.<br><br>3. Session destroy belum bekerja. Ketika logout aplikasi kemudian klik back, aplikasi kembali log on ke home page",Mayor
belum ada tampilan audit trail,Mayor
Saat input nilai atau scoring Tidak ada batasan angka untuk angka nol didepan dan masuk tetap masuk sebagai angka scoring tertingginya (angka 7),Mayor
Penamaan field belum sesuai,Minor
Penamaan field belum sesuai,Minor
"Saat menu input laporan di tekan, muncul form tambah dokumen di bawah informasi pelapor, namun saat pop up muncul, form tambah dokumen hilang",Mayor
"Mohon untuk ditambahkan garis kolom untuk setiap tabel pada tab menu INHERENT RISK , CONTROL RISK, RISK IMPACT INDEX",Kosmetik
"Masih ada space pada tabel di tab pemberi gratifikasi, penerimaan gratifikasi dan dokumen lampiran. Bisakah di&nbsp; maximize?",Kosmetik
"Belum ada Tab pemberi gratifikasi, penerimaan gratifikasi dan dokumen lampiran pada menu input laporan.",Mayor
"Ketika ditekan tombol reset, nilai pada dropdown tidak ikut tereset, berlaku juga untuk menu Monitoring laporan, administrasi &gt; frontend &gt; article, administrasi &gt; frontend &gt; carausel.",Mayor
Aktivitas Log Out Belum tercatat di audit trail,Mayor
kode/id jenis pemberi pada master data belum sinkron dengan kode/id jenis pemberi pada dropdown di menu input data,Mayor
gambar pada halaman setelah login belum sesuai,Mayor
"Belum ada field Jenis Pemberi Gratifikasi, Jenis Gratifikasi, dan masa kadaluarsa",Mayor
field masa kadaluarsa berupa input bebas bukan berupa dropdown dengan nilai yang diambil dari data master.&nbsp;<br>,Mayor
"pada ""status"" tidak ada isian dropdown ""selesai"". ",Mayor
"pada ""status"" tidak ada isian dropdown ""selesai"".",Mayor
Pencarian Tanggal kirim bisa lebih besar diawal,Mayor
Pencarian Tanggal kirim bisa lebih besar diawal,Mayor
Tidak ada tanda mandatory (*) pada field yang mengharuskan untuk diisi,Minor
"penulisan bahasa pada Propinsi, bahasa bakunya ""Provinsi""",Kosmetik
"saat mencari pencarian ""selesai"" tidak ada data yang tampil",Mayor
"saat mencari pencarian ""selesai"" tidak ada data yang tampil",Mayor
"saat filter status ""verifikasi"" data status Selesai juga muncul",Mayor
"saat filter status ""verifikasi"" data status Selesai juga muncul",Mayor
"Saat klik login dua kali menggunakan login info yang benar, stuck di page login dan blank screen",Fatal
"Untuk sub menu ""Data Rekapitulasi Perizinan"" tidak ada di menu ""Administration"" nya(SS1)<br><br>SS terlampir",Fatal
"Saat berhasil login, main page adalah /Error/NotFound, bukan home",Mayor
"Filter Periode yang seharusnya memunculkan data pada periode tersebut dan sebelum periode tersebut, memunculkan data setelah periode yang di filter (tahun 2015 memunculkan tahun setelahnya)",Mayor
menu PSM tidak dapat menjalankan aksi,Fatal
"terdapat tulisan ""YUHUU"" dibawah upload file",Kosmetik
"Bagian filter jenis TL, pilihan yang tersedia tidak sesuai dengan jenis TL",Mayor
button browser tidak dapat menjalankan aksi,Fatal
"Saat klik export pdf atau export excel, automatically navigated to error page",Mayor
"Pada field/nama kolom tidak terdapat mandatory namun ketika klik simpan muncul error/alert, serta tombol simpan &amp; keluar tidak berfungsi",Fatal
judul field tidak sesuai,Minor
1. nama kolom mohon diratatengahkan <br><br>2. nama menu dan notif tumpang tindih<br><br>3. nama kolom belum sesuai template,Minor
1. filter belum berfungsi<br><br>2. sandi bank belum tergenerate,Mayor
Stuck in loading message when applying filter,Mayor
Tidak ditemukan opsi pilih bank,Mayor
Tidak bisa simpan hasil edit,Mayor
"Hasil download belum sesuai tampilan<br><br><br>data Hasil download excel belum sesuai dengan yang tampil pada website. Mulai dari p<b>enamaan kolom, urutan kolom, sampai jumlah kolom</b>. Pada excel ada 20 kolom, sedangkan pada web ada 13 kolom<br><br><br>kolom yang dikotakin di excel gaada tampil di website&nbsp;<b>ss terlampir</b>",Minor
"Hasil download belum sesuai tampilan
<br><br>data Hasil download excel belum sesuai dengan yang tampil pada website, mulai dari p<b>enamaan kolom, urutan kolom, sampai jumlah kolom</b>. pada excel ada 18 kolom, sedangkan pada web ada 13 kolom",Minor
Menu Pemantauan RBS belum ada,Mayor
tahun copyright belum update,Kosmetik
"nama field ""TOTAL"" tidak center<br>",Kosmetik
"pada button seperti pada gambar terdapat ""_"" pada awal huruf",Kosmetik
"Ketika klik PDF, file berhasil di unduh tetapi animasi sistem loading terus berjalan dan tidak bisa di klik apapun<br>",Mayor
Tidak ada notifikasi jika user ID pegawai salah atau tidak ada.,Mayor
1. nama kolom mohon diratatengahkan<br><br>2. kotak isian Periode dan Bank belum sejajar<br><br>3. judul tabel berbeda&nbsp;,Minor
"1. keterangan ""pemeriksaan"" belum ada<br><br>2. kolom No belum ada<br><br>3. keterangan&nbsp;""Report diproses tanggal xxx pukul xxx"" belum ada<br>",Mayor
"typo penamaan page ""progrma""<br>",Kosmetik
1. Data AWP dan LHP seharusnya tanpa color code<br><br>2. button download belum berfungsi,Mayor
"Pada dropdown kolom ""Hal yang ingin didiskusikan pada saat konsultasi awal"" pilihan tidak muncul",Mayor
setelah semua form terisi tombol submit tidak ada aksi,Mayor
status dokumen belum ada,Mayor
Belum ada data Nomor STTD dan Nama KH (Konsultan Hukum) pada kolom Dashboard Rekap Pemeriksaan sesuai dokumen T.1.1,Mayor
Belum ada data Nomor STTD dan Nama KH (Konsultan Hukum) pada kolom Dashboard Rekap Laporan APOLO V2 sesuai dokumen T.1.1,Mayor
"Ketika pilih parameter BSI dan klik ubah, aplikasi menampilkan notif error<br>",Fatal
1. Penamaan kolom tidak center<br><br>2. Typo judul tabel<br>,Minor
"Aktivitas simpan <b>input form, unduh, dan unggah</b> tidak terekam di audit trail",Mayor
"Ketika memilih ""Rollback Status"" tanpa mencentang ""User Profile Target"" Sukses melakukan ""Process Rollback"" sampai muncul alert tetapi data ""Rollback Status"" tidak muncul.",Mayor
"1. nama tabel seharusnya ""Pertumbuhan KUR vs NPL/NPF (berdasarkan Baki Debet/Outstanding)"" sesuai template<br><br>2. legenda belum sesuai template",Minor
ketika klik preEleminary muncul alert error,Fatal
"1. nama tabel pada template ""Pertumbuhan Debitur KUR (Jumlah Fasilitas)""&nbsp;<br><br>2. legenda belum sesuai template",Minor
"judul kolom pada page maturity profile (M-12, dll.) tidak sesuai dengan mockup (menampilkan MM-YY)",Minor
"1. nama tabel pada template ""Baki Debet/Outstanding KUR Berdasarkan Jenis KUR pada Bulan Laporan""&nbsp;<br><br>2. keterangan belum sesuai template",Minor
1. kurang kolom No.<br>2. penamaan kolom tidak center<br>,Minor
1. legenda belum sesuai template<br><br>2. pada template tidak ada Total Ousanding,Minor
"judul kolom pada page loan to deposit ratio (M-12, dll.) tidak sesuai dengan mockup (menampilkan MM-YY)",Minor
"judul kolom pada page loan to deposit ratio (M-12, dll.) tidak sesuai dengan mockup (menampilkan MM-YY)",Minor
Footnote pada tahunnya belum sesuai,Kosmetik
penamaan kolom belum center<br>,Kosmetik
Judul kolom daftar pemantauan SLA tidak sesuai dengan mockup,Minor
1. legenda belum sesuai template<br><br>2. D pada direstrukturisasi mohon menggunakan huruf kapital,Minor
judul kolom pada tabel tidak sesuai dengan mockup ,Kosmetik
legenda tabel belum ada,Minor
"Pada dropdown jenis laporan OSIDA, hanya terdapat 11 jenis laporan osida, sementara pada template terdapat 12",Mayor
pada kolom upload belum terdapat keterangan file dan ukuran max file yang dapat di upload,Mayor
"peneamaan bank dan jenis lembaga tidak sesuai, pada nama tertulis ""UUS"" sedangkan pada jenis lembaga ""Bank Umum Konvensional""<br>",Minor
Penamaan kolom belum center,Kosmetik
"Pada ""Nilai hasil wawancara"" tidak bisa menambahkan data baru",Fatal
Excel belum memuat semua data yang tampil pada tabel hasil pencarian ,Mayor
"Tampilan web tidak sesuai pada mock up G1<br><br>-Pada web, dropdown ""Hasil Akhir"" tidak sesuai .&nbsp; G2<br>-Pada web Link Survey, Pada mock up ""Link e-survey"" G2",Minor
"Field masa kadaluarsa saat tambah data bisa dikosongkan, namun saat edit, field masa kadaluarsa tidak bisa kosong",Mayor
ketika pilih user pemroses lalu klik proses muncul alert error,Mayor
"- Naming pada ""Hasil Wawancara Panelis"". berbeda pada mock up<br>- Label pada tampilan web tidak terdapat mandatory, pada mock up terdapat mandatory.<br>- Dropdown ""Kesimpulan"" tidak sesuai mock up<br>-Tidak ada button ""Keluar"" tidak sesuai mock up&nbsp;",Minor
1. penamaan kolom belum center<br><br>2. belum ada kolom no<br>,Minor
1. penamanaan legenda tabel belum sesuai<br><br>2. tidak ada keterangan Periode pada template<br><br>3. hasil download pdf terpotong,Minor
ketika klik button cari tidak muncul pop up namun tampil dibawah form,Minor
penamanaan legenda tabel belum sesuai,Minor
jika klik beranda pada sprint corner beranda yang muncul adalah beranda Sprint modul SPEK,Minor
penamaan kolom belum center<br><br>,Kosmetik
"Ketika melakukan input symbol pada kolom date, lalu klik cari, berhasil memunculkan data hasil pencarian",Mayor
"1. Pada Usulan DPEA Kolom hanya TLHP sedangkan pada Aplikasi ""Nama TLHP""(SS1).<br><br>2. Penamaan kolom IDProgressTLHP kurang Spasi (SS2)",Kosmetik
"Pada menu audit trail kolom menu, aktifitas link dan Deskripsi lainnya masih kosong (SS1)",Mayor
"Pada dokumen Usulan DPEA nama kolom:<br>dibuat Oleh, diubah Oleh<br>sedangkan di aplikasi nama kolom:<br>diubah Oleh, sedang diubah Oleh<br>",Kosmetik
"dalam dropdown pilih bank, terdapat dua dropdown dengan fungsi yang sama ""-all-"" dan ""-semua-""

Tata letak tulisan ""Bank"" dan ""Periode"" kurang ketengah",Minor
"Pada dropdown jenis laporan OSIDA, terdapat kesalahan penulisan",Kosmetik
penamaan kolom belum center<br><br>,Kosmetik
Pada detail overview TLHP belum terdapat chart Pengenaan dan Penyelesaian (SS1),Mayor
tidak dapat mengirim Email,Mayor
Pada kolom deskripsi harusnya tidak mandatory,Mayor
jika upload muncul popup error,Mayor
Pada kolom deskripsi seharusnya tidak mandatory (SS01),Mayor
tidak bisa login (karena belum di setting) menggunakan LJK baik menggunakan client hasil download dari website,Mayor
Pada pop up Rapat Eksekutif tidak dapat disimpan karena ID Rapat Eksekutif harus diisi periode 2025,Minor
"Ketika ""Data Berhasil Disimpan"", checklist foto tidak tersimpan (SS1)<br><br>SS telampir",Mayor
penamaan kolom belum center<br><br>,Kosmetik
Muncul pesan jumlah header harus 8 sementara di struktur data hanya 7,Mayor
urutan header tidak sesuai struktur data,Mayor
1. Pada chart Topik TLHP download Excel dan PDF nama kolom hanya Topik seharusnya Topik TLHP (SS1)<br><br>2. Pada chart Jenis TLHP download Excel dan PDF nama kolom Jenis Tindak Lanjut seharusnya Jenis TLHP (SS2)<br><br>3. Pada chart Status Tekini TLHP download Excel dan PDF nama kolom&nbsp;Status Progress TLHP&nbsp;seharusnya Status Tekini TLHP&nbsp;(SS3)<br>,Kosmetik
ukuran file PDF > 20MB masih bisa lolos validasi,Mayor
Tampilan web dan mock up belum sesuai,Minor
Filter from date disable,Mayor
A. Hasil download excel masih kosong<br><br>B. Hasil download pdf &amp; excel tidak sesuai dengan yang tertampil di web (Gambar 2 dan 3)<br><br>,Mayor
"tanpa filter apapun, export excel dan pdf blm bisa",Mayor
"1. tanpa filter apapun, data yang muncul belum ada info data periode apa<br>2. untuk persentase dan rasio2 masih ada Rp harusnya berupa rasio",Mayor
Saat ini kolom keterangan belum mandatory ,Mayor
belum ada vallidasi D01 jika dbuat tidak sesuai,Mayor
"Sesuai informasi pada saat briefing pada ""keterangan"" dikatakan mandatory. Saat ini tidak mandatory (SS01)<br>",Mayor
penamaan kolom belum center<br>,Kosmetik
Nama tabel tidak sesuai,Minor
"1. Jika kolom 3-8 dikosongkan di baris D01, pada baris 6 dan 7 muncul pesan yang berbeda. Pada baris 7 muncul pesan kolom 6-8 padahal opsional<br><br>2. baris 5, 6, 8 diisi slain 0-5 tidak muncul validasi<br><br>3. belum ada tanda * pada pesan kesalahan F01 kolom kedua yang diperbolehkan<br><br>4. Jika kolom kedua F01 dikosongkan muncul pesan dengan nama kolom Keterangan Footer bukan Analisis<br><br>5. nama kolom 2 belum sesuai strukdat. Untuk kode referensi ditampilkan&nbsp; definisinya.<br><br>6. kolom 3-5 diisi 0 dan form terkaitnya (0100-0600) hanya header, masih muncul pesan validasi<br><br>7. sandi 0000 kolom 5 diisi 0 masih lolos, pada strukdat harus diisi 1-5<br><br>8. baris 7 muncul pesan jika dikosongkan, di strukdat opsional<br><br>9. jika hanya header masih lolos validasi",Mayor
Untuk Pengawas BPR/BPRS belum ada kanal Laporan Berkala BPRS,Mayor
Untuk Administrator DPDS/ Administrator Pelaporan Perbankan belum ada kanal laporan berkala BPRS,Mayor
Untuk Administrator DPDS / Administrator Pelaporan Perbankan OJK belum terdapat kanal Penilaian TKS BPR,Mayor
hasil download audit trail belum sesuai,Mayor
